,13055.0,21231.0,31555.0,33063.0,35238.0,44109.0,45234.0,59350.0,67482.0,69123.0,75056.0,76540.0
13055.0,1.0,502.567,403.72,646.35,1029.302,986.94,758.027,999.973,798.471,314.167,775.18,899.535
21231.0,502.867,1.0,645.617,640.277,620.214,638.347,315.411,500.556,330.666,193.479,315.142,439.497
31555.0,404.059,647.455,1.0,245.075,699.393,585.665,554.852,894.367,946.69,539.192,678.968,785.284
33063.0,645.87,641.969,244.45,1.0,461.506,347.778,462.211,800.176,941.204,551.038,584.778,654.8
35238.0,1029.414,621.641,699.874,461.96,1.0,108.53,304.855,573.394,832.684,721.598,351.86,312.914
44109.0,986.604,639.07,585.184,347.27,108.234,1.0,333.048,597.975,863.401,683.252,382.577,384.462
45234.0,758.154,315.869,554.523,463.335,302.879,333.986,1.0,347.812,587.543,450.339,132.413,238.728
59350.0,999.974,501.059,893.076,799.908,572.154,597.74,347.623,1.0,552.562,690.587,224.373,252.424
67482.0,799.525,330.188,944.825,939.485,832.284,864.554,588.292,552.912,1.0,488.222,491.232,636.76
69123.0,313.95,192.343,538.24,550.794,719.461,682.653,448.186,689.75,487.795,1.0,464.957,589.312
75056.0,774.16,315.872,677.466,584.298,349.86,382.13,132.013,219.227,490.521,464.772,1.0,134.161
76540.0,903.614,445.326,785.88,655.13,313.579,384.31,240.427,253.732,635.456,594.226,135.481,1.0
